LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
c $1-2 million,": 3566 STEVENS CREEK HOLDINGS OF CALIFORNIA, LLC",4100 Stevens Creek Blvd,SAN JOSE,CA,95129,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,77,04/28/2020,"U.S. Bank, National Association",CA-18
"d $350,000-1 million",: 97-10 QUEENS BLVD STORE LLC,626 Sheepshead Bay Road,BROOKLYN,NY,11224,445110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,56,04/14/2020,KeyBank National Association,NY-08
"d $350,000-1 million",": AJS & ASSOCIATES, INC.",200 Industrial Drive,RANDOM LAKE,WI,53075,321999,Corporation,Unanswered,Unanswered,Unanswered,,63,04/15/2020,"U.S. Bank, National Association",WI-06
"e $150,000-350,000",: CIVIC LEAGUE DAY NURSERY,427 SIXTH Ave SW,ROCHESTER,MN,55902,624410,Non-Profit Childcare Center,Unanswered,Unanswered,Unanswered,Y,19,04/15/2020,"U.S. Bank, National Association",MN-01
"e $150,000-350,000",": MULTI-VENTAS Y SERVICIOS P.R., INC.",Carr 1 km 26.9  Rio canas Ward,Caguas,PR,725,423130,Corporation,Unanswered,Male Owned,Non-Veteran,,70,05/03/2020,Banco Popular de Puerto Rico,PR-00
c $1-2 million,.COM DISTRIBUTION CORP,300 NIXON LN,EDISON,NJ,8837,424990,Corporation,Unanswered,Unanswered,Unanswered,,115,04/07/2020,Haddon Savings Bank,NJ-06
"d $350,000-1 million",".DECIMAL, LLC",121 CENTRAL PARK PL,SANFORD,FL,32771,339112,Corporation,White,Male Owned,Non-Veteran,,49,04/08/2020,Cogent Bank,FL-07
"d $350,000-1 million",".P. DOYLE & SON, LLC",1100 WHEATON OAKS CT,WHEATON,IL,60187,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,04/08/2020,"Wheaton Bank & Trust Company, National Association",IL-06
"e $150,000-350,000","''LAC ELECTRIC, INC.''",8816 WHITE OAK AVE,NORTHRIDGE,CA,91325,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,26,05/01/2020,"JPMorgan Chase Bank, National Association",CA-30
b $2-5 million,'47 BRAND LLC,15 Southwest Park,WESTWOOD,MA,2090,423910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,342,04/30/2020,"Bank of America, National Association",MA-08
"e $150,000-350,000","'A' TREE SERVICE & LANDSCAPE, INC.",761 1st St SW,SAINT PAUL,MN,55112,561730,Corporation,White,Male Owned,Non-Veteran,,8,04/04/2020,Highland Bank,MN-04
"e $150,000-350,000","'DOC' DANCER, INC.",2309 ANTHONY BLVD,FORT WAYNE,IN,46803,238220,Corporation,Unanswered,Unanswered,Unanswered,,26,04/07/2020,Lake City Bank,IN-03
