NAICS_Code,NAICS_Title
441110,New Car Dealers
445110,Supermarkets and Other Grocery (except Convenience) Stores
321999,All Other Miscellaneous Wood Product Manufacturing
624410,Child Day Care Services
423130,Tire and Tube Merchant Wholesalers
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
339112,Surgical and Medical Instrument Manufacturing
236220,Commercial and Institutional Building Construction
238210,Electrical Contractors and Other Wiring Installation Contractors
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
561730,Landscaping Services
238220,Plumbing, Heating, and Air-Conditioning Contractors
621111,Offices of Physicians (except Mental Health Specialists)
621112,Offices of Physicians, Mental Health Specialists
722511,Full-Service Restaurants
532420,Office Machinery and Equipment Rental and Leasing
541330,Engineering Services
561110,Office Administrative Services
621610,Home Health Care Services
517312,Wireless Telecommunications Carriers (except Satellite)
624120,Services for the Elderly and Persons with Disabilities
541512,Computer Systems Design Services
492210,Local Messengers and Local Delivery
621210,Offices of Dentists
445310,Beer, Wine, and Liquor Stores
488999,All Other Support Activities for Transportation
541519,Other Computer Related Services
541511,Custom Computer Programming Services
611310,Colleges, Universities, and Professional Schools
531390,Other Activities Related to Real Estate
812320,Drycleaning and Laundry Services (except Coin-Operated)
442110,Furniture Stores
212321,Construction Sand and Gravel Mining
721110,Hotels (except Casino Hotels) and Motels
334519,Other Measuring and Controlling Device Manufacturing
611699,All Other Miscellaneous Schools and Instruction
517919,All Other Telecommunications
532283,Home Health Equipment Rental
561990,All Other Support Services
562910,Remediation Services
484220,Specialized Freight (except Used Goods) Trucking, Local
339999,All Other Miscellaneous Manufacturing
541990,All Other Professional, Scientific, and Technical Services
518210,Data Processing, Hosting, and Related Services
621910,Ambulance Services
238990,All Other Specialty Trade Contractors
541370,Surveying and Mapping (except Geophysical) Services
811490,Other Personal and Household Goods Repair and Maintenance
541810,Advertising Agencies
523999,Miscellaneous Financial Investment Activities
561320,Temporary Help Services
541110,Offices of Lawyers
541614,Process, Physical Distribution, and Logistics Consulting Services
441310,Automotive Parts and Accessories Stores
813410,Civic and Social Organizations
424930,Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers
339950,Sign Manufacturing
511210,Software Publishers
722513,Limited-Service Restaurants
621491,HMO Medical Centers
711410,Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures
423450,Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers
236118,Residential Remodelers
541219,Other Accounting Services
561311,Employment Placement Agencies
