zip,primary_city,state,county,timezone,latitude,longitude
95129,San Jose,CA,Santa Clara County,America/Los_Angeles,37.3,-122
11224,Brooklyn,NY,Kings County,America/New_York,40.64,-73.94
53075,Random Lake,WI,Sheboygan County,America/Chicago,43.55,-87.95
55902,Rochester,MN,Olmsted County,America/Chicago,44.01,-92.47
32771,Sanford,FL,Seminole County,America/New_York,28.78,-81.27
60187,Wheaton,IL,Dupage County,America/Chicago,41.85,-88.1
91325,Northridge,CA,Los Angeles County,America/Los_Angeles,34.23,-118.51
55112,Saint Paul,MN,Ramsey County,America/Chicago,44.94,-93.1
46803,Fort Wayne,IN,Allen County,America/Indiana/Indianapolis,41.07,-85.13
96813,Honolulu,HI,Honolulu County,Pacific/Honolulu,21.3,-157.85
96817,Honolulu,HI,Honolulu County,Pacific/Honolulu,21.3,-157.85
89118,Las Vegas,NV,Clark County,America/Los_Angeles,36.07,-115.21
75058,Gunter,TX,Grayson County,America/Chicago,33.45,-96.74
95062,Santa Cruz,CA,Santa Cruz County,America/Los_Angeles,36.97,-121.98
53719,Madison,WI,Dane County,America/Chicago,43.07,-89.38
59802,Missoula,MT,Missoula County,America/Denver,46.94,-113.85
71202,Monroe,LA,Ouachita Parish,America/Chicago,32.51,-92.08
91103,Pasadena,CA,Los Angeles County,America/Los_Angeles,34.17,-118.17
36117,Montgomery,AL,Montgomery County,America/Chicago,32.35,-86.28
73114,Oklahoma City,OK,Oklahoma County,America/Chicago,35.46,-97.51
70605,Lake Charles,LA,Calcasieu Parish,America/Chicago,30.21,-93.2
92673,San Clemente,CA,Orange County,America/Los_Angeles,33.48,-117.61
92694,Ladera Ranch,CA,Orange County,America/Los_Angeles,33.56,-117.63
60523,Oak Brook,IL,Dupage County,America/Chicago,41.83,-87.95
33126,Miami,FL,Miami-Dade County,America/New_York,25.77,-80.29
20036,Washington,DC,District of Columbia,America/New_York,38.89,-77.03
99352,Richland,WA,Benton County,America/Los_Angeles,46.32,-119.32
40509,Lexington,KY,Fayette County,America/Kentucky/Louisville,38.04,-84.45
15146,Monroeville,PA,Allegheny County,America/New_York,40.42,-79.76
95823,Sacramento,CA,Sacramento County,America/Los_Angeles,38.47,-121.44
78552,Harlingen,TX,Cameron County,America/Chicago,26.19,-97.68
60653,Chicago,IL,Cook County,America/Chicago,41.83,-87.68
31093,Warner Robins,GA,Houston County,America/New_York,32.61,-83.63
60611,Chicago,IL,Cook County,America/Chicago,41.83,-87.68
60614,Chicago,IL,Cook County,America/Chicago,41.83,-87.68
85298,Gilbert,AZ,Maricopa County,America/Phoenix,33.24,-111.7
65804,Springfield,MO,Greene County,America/Chicago,37.19,-93.28
79323,Denver City,TX,Yoakum County,America/Chicago,32.96,-102.83
78666,San Marcos,TX,Hays County,America/Chicago,29.88,-97.92
10022,New York,NY,New York County,America/New_York,40.71,-73.99
48150,Livonia,MI,Wayne County,America/Detroit,42.39,-83.37
33063,Pompano Beach,FL,Broward County,America/New_York,26.23,-80.13
35124,Pelham,AL,Shelby County,America/Chicago,33.3,-86.79
20743,Capitol Heights,MD,Prince George's County,America/New_York,38.87,-76.9
10018,New York,NY,New York County,America/New_York,40.71,-73.99
32962,Vero Beach,FL,Indian River County,America/New_York,27.64,-80.39
63130,Saint Louis,MO,St Louis County,America/Chicago,38.63,-90.24
73448,Marietta,OK,Love County,America/Chicago,33.93,-97.12
33605,Tampa,FL,Hillsborough County,America/New_York,27.95,-82.48
98006,Bellevue,WA,King County,America/Los_Angeles,47.55,-122.14
95014,Cupertino,CA,Santa Clara County,America/Los_Angeles,37.3,-122.09
21122,Pasadena,MD,Anne Arundel County,America/New_York,39.11,-76.55
98005,Bellevue,WA,King County,America/Los_Angeles,47.62,-122.16
27834,Greenville,NC,Pitt County,America/New_York,35.59,-77.37
56301,Saint Cloud,MN,Stearns County,America/Chicago,45.55,-94.17
33803,Lakeland,FL,Polk County,America/New_York,28.04,-81.96
74429,Coweta,OK,Wagoner County,America/Chicago,35.96,-95.66
75672,Marshall,TX,Harrison County,America/Chicago,32.53,-94.35
28590,Winterville,NC,Pitt County,America/New_York,35.52,-77.39
30324,Atlanta,GA,Fulton County,America/New_York,33.81,-84.36
77060,Houston,TX,Harris County,America/Chicago,29.76,-95.38
23237,Richmond,VA,Chesterfield County,America/New_York,37.55,-77.46
74403,Muskogee,OK,Muskogee County,America/Chicago,35.74,-95.35
23434,Suffolk,VA,Suffolk City,America/New_York,36.7,-76.63
90265,Malibu,CA,Los Angeles County,America/Los_Angeles,34.06,-118.81
19135,Philadelphia,PA,Philadelphia County,America/New_York,39.95,-75.16
32343,Midway,FL,Gadsden County,America/New_York,30.49,-84.46
90049,Los Angeles,CA,Los Angeles County,America/Los_Angeles,34.08,-118.49
26554,Fairmont,WV,Marion County,America/New_York,39.48,-80.14
11201,Brooklyn,NY,Kings County,America/New_York,40.64,-73.94
12401,Kingston,NY,Ulster County,America/New_York,41.93,-73.99
90064,Los Angeles,CA,Los Angeles County,America/Los_Angeles,34.03,-118.43
75225,Dallas,TX,Dallas County,America/Chicago,32.79,-96.76
10012,New York,NY,New York County,America/New_York,40.71,-73.99
43537,Maumee,OH,Lucas County,America/New_York,41.57,-83.65
77036,Houston,TX,Harris County,America/Chicago,29.76,-95.38
32408,Panama City,FL,Bay County,America/Chicago,30.17,-85.67
78232,San Antonio,TX,Bexar County,America/Chicago,29.45,-98.5
10014,New York,NY,New York County,America/New_York,40.71,-73.99
15206,Pittsburgh,PA,Allegheny County,America/New_York,40.43,-79.97
11377,Woodside,NY,Queens County,America/New_York,40.74,-73.9
33431,Boca Raton,FL,Palm Beach County,America/New_York,26.37,-80.1
76180,North Richland Hills,TX,Tarrant County,America/Chicago,32.86,-97.21
33186,Miami,FL,Miami-Dade County,America/New_York,25.77,-80.2
84047,Midvale,UT,Salt Lake County,America/Denver,40.6,-111.88
20005,Washington,DC,District of Columbia,America/New_York,38.89,-77.03
55337,Burnsville,MN,Dakota County,America/Chicago,44.76,-93.27
73112,Oklahoma City,OK,Oklahoma County,America/Chicago,35.46,-97.51
19341,Exton,PA,Chester County,America/New_York,40.03,-75.63
72704,Fayetteville,AR,Washington County,America/Chicago,36.07,-94.15
36607,Mobile,AL,Mobile County,America/Chicago,30.68,-88.04
77043,Houston,TX,Harris County,America/Chicago,29.76,-95.38
